snapshot_date,symbol,idx_code,issuer_name,board,sector
2025-09-20,BTPS.JK,BTPS,PT Bank BTPN Syariah Tbk,,Finance
2025-09-20,BUAH.JK,BUAH,PT Segar Kumala Indonesia Tbk,,Distribution services
2025-09-20,BUDI.JK,BUDI,PT Budi Starch & Sweetener Tbk,,Process industries
2025-09-20,BUKA.JK,BUKA,PT Bukalapak.com Tbk,,Retail trade
2025-09-20,BUKK.JK,BUKK,PT Bukaka Teknik Utama Tbk,,Producer manufacturing
2025-09-20,BULL.JK,BULL,PT Buana Lintas Lautan Tbk,,Transportation
2025-09-20,BUMI.JK,BUMI,PT Bumi Resources Tbk Class A,,Energy minerals
2025-09-20,BUVA.JK,BUVA,PT Bukit Uluwatu Villa Tbk,,Consumer services
2025-09-20,BVIC.JK,BVIC,PT Bank Victoria International Tbk,,Finance
2025-09-20,BWPT.JK,BWPT,PT Eagle High Plantations Tbk.,,Process industries
2025-09-20,BYAN.JK,BYAN,PT Bayan Resources Tbk,,Energy minerals
2025-09-20,CAKK.JK,CAKK,PT Cahayaputra Asa Keramik Tbk,,Consumer durables
2025-09-20,CAMP.JK,CAMP,PT Campina Ice Cream Industry Tbk,,Consumer non-durables
2025-09-20,CANI.JK,CANI,PT Capitol Nusantara Indonesia Tbk,,Transportation
2025-09-20,CARE.JK,CARE,PT Metro Healthcare Indonesia Tbk,,Health services
2025-09-20,CARS.JK,CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk,,Retail trade
2025-09-20,CASA.JK,CASA,PT Capital Financial Indonesia Tbk,,Finance
2025-09-20,CASH.JK,CASH,PT.Cashlez Worldwide Indonesia Tbk,,Technology services
2025-09-20,CASS.JK,CASS,Cahaya Aero Services Tbk,,Transportation
2025-09-20,CBDK.JK,CBDK,PT Bangun Kosambi Sukses Tbk,,Finance
2025-09-20,CBPE.JK,CBPE,PT Citra Buana Prasida Tbk,,Finance
2025-09-20,CBRE.JK,CBRE,PT Cakra Buana Resources Energi Tbk,,Transportation
2025-09-20,CBUT.JK,CBUT,PT Citra Borneo Utama Tbk,,Consumer non-durables
2025-09-20,CCSI.JK,CCSI,PT Communication Cable Systems Indonesia Tbk,,Producer manufacturing
2025-09-20,CDIA.JK,CDIA,PT Chandra Daya Investasi Tbk.,,Utilities
2025-09-20,CEKA.JK,CEKA,PT Wilmar Cahaya Indonesia Tbk,,Consumer non-durables
2025-09-20,CENT.JK,CENT,PT Centratama Telekomunikasi Indonesia Tbk,,Communications
2025-09-20,CFIN.JK,CFIN,PT Clipan Finance Indonesia Tbk,,Finance
2025-09-20,CGAS.JK,CGAS,PT Citra Nusantara Gemilang Tbk,,Utilities
2025-09-20,CHEK.JK,CHEK,PT Diastika Biotekindo Tbk,,Health technology
2025-09-20,CHEM.JK,CHEM,PT Chemstar Indonesia Tbk,,Process industries
2025-09-20,CHIP.JK,CHIP,PT Pelita Teknologi Global Tbk,,Technology services
2025-09-20,CINT.JK,CINT,PT Chitose Internasional Tbk,,Producer manufacturing
